"Year","Month","Day","Hour","Temp_15cm"
2014,5,12,11,12.4
2014,5,12,12,12.9
2014,5,12,13,13.15
2014,5,12,14,13.6
2014,5,12,15,14.1
2014,5,12,16,14.65
2014,5,12,17,13.85
2014,5,12,18,14.2
2014,5,12,19,15.2
2014,5,12,20,14
2014,5,12,21,14.4
2014,5,12,22,14.95
2014,5,12,23,14.5
2014,5,13,0,14.2
2014,5,13,1,13.95
2014,5,13,2,13.05
2014,5,13,3,12.1
2014,5,13,4,12.15
2014,5,13,5,11.95
2014,5,13,6,11.9
2014,5,13,7,12.15
2014,5,13,8,12
2014,5,13,9,11.5
2014,5,13,10,11.45
2014,5,13,11,11.6
2014,5,13,12,11.8
2014,5,13,13,12.75
2014,5,13,14,12.4
2014,5,13,15,12.7
2014,5,13,16,13
2014,5,13,17,13.3
2014,5,13,18,13.8
2014,5,13,19,13.45
2014,5,13,20,13.2
2014,5,13,21,13.2
2014,5,13,22,12.75
2014,5,13,23,12.6
2014,5,14,0,12.8
2014,5,14,1,12.65
2014,5,14,2,12.2
2014,5,14,3,12.55
2014,5,14,4,12.75
2014,5,14,5,12.5
2014,5,14,6,12.3
2014,5,14,7,12.2
2014,5,14,8,12
2014,5,14,9,11.6
2014,5,14,10,11
2014,5,14,11,11.15
2014,5,14,12,11.95
2014,5,14,13,11.6
2014,5,14,14,11.9
2014,5,14,15,12.25
2014,5,14,16,12.5
2014,5,14,17,12.85
2014,5,14,18,13.05
2014,5,14,19,13
2014,5,14,20,13.25
2014,5,14,21,13.25
2014,5,14,22,12.35
2014,5,14,23,13
2014,5,15,0,12.2
2014,5,15,1,11.95
2014,5,15,2,11.8
2014,5,15,3,11.95
2014,5,15,4,11.75
2014,5,15,5,11.4
2014,5,15,6,11.5
2014,5,15,7,11.1
2014,5,15,8,11.1
2014,5,15,9,10.75
2014,5,15,10,11.25
2014,5,15,11,11.3
2014,5,15,12,11.25
2014,5,15,13,11.2
2014,5,15,14,11.6
2014,5,15,15,11.95
2014,5,15,16,12.15
2014,5,15,17,12.7
2014,5,15,18,12.9
2014,5,15,19,14.2
